subset,n,frac,p_bcat_mean,p_bcat_min,p_bcat_max,actual,gap,p_A7_mean,p_A9_mean,A7_gap,A9_gap,asof_pitcher_n_med,asof_batter_n_med,asof_p_succ_med,pit_unique,pit_top10_share,bat_unique,bat_top10_share,bcat_bss,bcat_rel,v9_bss,v9_dbss,paired,paired_se
2023 bin18-19 (붕괴),24553,0.10000203645249975,0.6800504860324815,0.6171684728069723,0.7820989233278363,0.4755019753186983,-0.20454851071378322,0.5076110437022113,0.4635253292928456,-0.03210906838351302,0.011976646025852689,1311.0,757.0,0.550126,240.0,0.2867674011322445,269.0,0.29071803852889666,,,,,,
2023 bin0-17 (정상),220972,0.8999979635475003,0.48890917476838147,0.30417095818939127,0.6171413855119018,0.50267454700143,0.013765372233048523,0.4979218070209094,0.49573541171299457,0.004752739980520615,0.006939135288435427,3351.0,4851.0,0.520816,315.0,0.1278170989989682,327.0,0.10611751715149431,,,,,,
2024 p>=0.617 (절대임계),714,0.002816490274430292,0.6295697150237091,0.6171860598905173,0.6601398340963149,0.6050420168067226,-0.024527698216986416,0.6107148119384834,0.6061139123422803,-0.005672795131760777,-0.0010718955355576432,2706.5,9851.5,0.6024275,8.0,1.0,66.0,0.6330532212885154,,,,,,
2024 bin18-19 (분위),25351,0.10000118339927497,0.5752626309852311,0.5496921428822683,0.6601398340963149,0.5809632756104296,0.005700644625198481,0.5739790114797112,0.5726267531292515,0.006984264130718398,0.00833652248117811,3964.0,5764.0,0.565417,118.0,0.6845094868052543,236.0,0.19273401443730032,,,,,,
2024 (2023붕괴 투수 동일),80148,0.31615695030117513,0.47284184031019166,0.3430818369438824,0.6601398340963149,0.4706917203174128,-0.002150119992778865,0.4833293772302285,0.47710745417559736,-0.012637656912815709,-0.006415733858184558,2566.0,3822.5,0.5052955,158.0,0.21810899835304687,414.0,0.09012077656335779,,,,,,
2023 sim clip <= 0.60,245525,,,,,,,,,,,,,,,,,,0.0,656.0772779944128,622.7055451307417,219.62364545647927,218.3606775180319,10.609956272557026
2023 sim clip <= 0.62,245525,,,,,,,,,,,,,,,,,,0.0,937.339501844178,575.1430316064954,172.0611319322329,170.92167191696427,8.292867033021903
2023 sim clip <= 0.65,245525,,,,,,,,,,,,,,,,,,0.0,1285.7683288291166,501.62398438898805,98.5420847147256,97.73363041726634,5.160188349759618
2023 sim clip <= 0.70,245525,,,,,,,,,,,,,,,,,,0.0,1699.4780376459648,418.2665649108741,15.184665236611636,14.991116124441596,1.3903240546369695
2023 sim shrink x0.9,245525,,,,,,,,,,,,,,,,,,0.0,1474.8943853492233,469.7823249079636,66.70042523370114,66.4913258485394,2.622497486425714
2023 sim shrink x0.8,245525,,,,,,,,,,,,,,,,,,0.0,1211.611558469751,528.4822997129402,125.40040003867773,124.98342382674343,5.240524241165825
2023 sim shrink x0.7,245525,,,,,,,,,,,,,,,,,,0.0,987.7107451567264,579.1818240891366,176.09992441487418,175.47629393460863,7.854360041540527
2023 sim cap |p-.5|<=0.08,245525,,,,,,,,,,,,,,,,,,0.0,479.1386255746316,670.3639939912188,267.2820943169563,265.9678445663611,12.978746808465807
2023 sim cap |p-.5|<=0.10,245525,,,,,,,,,,,,,,,,,,0.0,651.8603590292482,624.7996436775649,221.7177440033024,220.49298211082888,10.63186059162951
2023 sim cap |p-.5|<=0.12,245525,,,,,,,,,,,,,,,,,,0.0,935.9053719847637,575.6192581617526,172.5373584874901,171.41782431574995,8.31425626265949
2024 sim clip <= 0.60,253507,,,,,,,,,,,,,,,,,,826.628587839473,29.946480884441733,916.7007949880345,-0.4687302944672638,-0.5080044144329895,0.6429143260513636
2024 sim clip <= 0.62,253507,,,,,,,,,,,,,,,,,,826.8483423637618,28.51301698807521,916.9238164443594,-0.24570883814237732,-0.2604697748255751,0.24167176460930348
2024 sim clip <= 0.65,253507,,,,,,,,,,,,,,,,,,827.2905004916287,28.227790816008522,917.1668363906815,-0.0026888918202985224,-0.002766174858391537,0.01575775129191689
2024 sim clip <= 0.70,253507,,,,,,,,,,,,,,,,,,827.2919576759019,28.223904721859494,917.1695252825018,0.0,0.0,0.0
2024 sim shrink x0.9,253507,,,,,,,,,,,,,,,,,,818.1507159739975,37.69029606709506,908.4845296824407,-8.684995600061143,-8.800045541435985,1.6337900250682578
2024 sim shrink x0.8,253507,,,,,,,,,,,,,,,,,,790.9390625457702,65.16841179493622,896.1402757078241,-21.029249574677692,-21.26026024239719,3.267524180307774
2024 sim shrink x0.7,253507,,,,,,,,,,,,,,,,,,745.6569973912752,110.65825190538277,880.136763358652,-37.03276192384976,-37.38064410288805,4.901248619644914
2024 sim cap |p-.5|<=0.08,253507,,,,,,,,,,,,,,,,,,808.566773142183,40.71656013670304,909.1025000180664,-8.067025264435415,-8.125888953114938,2.2877080778079395
2024 sim cap |p-.5|<=0.10,253507,,,,,,,,,,,,,,,,,,825.2135604077115,31.1663129182735,915.9166060373591,-1.2529192451427207,-1.2482925158419635,1.09063832023868
2024 sim cap |p-.5|<=0.12,253507,,,,,,,,,,,,,,,,,,826.5313977305233,28.561486197271364,916.7484730010611,-0.42105228144066587,-0.4262093912306705,0.3967630309303626
