variant,tau,K1,K2,K3,n_season,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se,sigma
l1only,,10.0,300.0,300.0,4,0.0,267.02689990693193,1125.949807352968,-403.08189967426244,-291.62515587601376,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,,30.0,300.0,300.0,4,0.0,379.7647943000983,418.8655454844981,-403.08189967426244,-178.8872614828474,-402.11033806631093,33.21160186968006,12.107526148367159
l1only,,100.0,300.0,300.0,4,303.3010392627045,493.0783561248248,186.5419796346953,-99.78086041155797,-65.57369965812092,-99.18326209267357,12.692859618112383,7.81409903495203
l1only,,300.0,300.0,300.0,4,385.23989415246706,547.0324820896045,161.6128330593891,-17.842005521795386,-11.61957369334118,-17.53540703462347,5.350875937234209,3.2771096247257177
l1only,,1000.0,300.0,300.0,4,400.95476817090247,562.7529642396271,160.9014639770611,-2.1271315033599763,4.100908456681395,-2.0129765156787203,1.8000299956675996,1.118301650818959
l1only,,3000.0,300.0,300.0,4,402.78693286092124,563.3041164854308,158.78866393388154,-0.29496681334120467,4.652060702485073,-0.25409844791984537,0.6233307984668204,0.4076462266020551
l1only,,10000.0,300.0,300.0,4,403.04156728756533,561.7060650164229,157.19612977701016,-0.04033238669711636,3.0540092334772453,-0.027745929543575586,0.18965063887085265,0.14630021659178208
hier,,10.0,300.0,300.0,4,0.0,276.0620580787068,1180.0815496615812,-403.08189967426244,-282.5899977042389,-405.2214173285849,36.46314672507815,11.113177378349713
hier,,30.0,300.0,300.0,4,0.0,400.65179870956075,494.60739109784726,-403.08189967426244,-158.00025707338494,-404.8500413555467,35.85543533463965,11.29117629104406
hier,,100.0,300.0,300.0,4,246.5245305901198,484.7501220211767,232.174862677151,-156.55736908414264,-73.90193376176899,-155.81643078931077,18.274182532044986,8.526588290123314
hier,,300.0,300.0,300.0,4,329.2303648407047,527.709749708707,190.66990224982445,-73.85153483355776,-30.942306074238672,-73.45482268204495,14.534069764965745,5.053974823975814
hier,,1000.0,300.0,300.0,4,346.03858019813805,537.3887986134715,183.58334125961252,-57.043319476124395,-21.263257169474173,-56.8656528557484,13.694927778319784,4.152314913684429
hier,,3000.0,300.0,300.0,4,348.35020261219097,537.5645908848104,179.9439183334208,-54.731697062071476,-21.087464898135295,-54.63606411401994,13.592890000344408,4.01945900486472
hier,,10000.0,300.0,300.0,4,348.796917258154,538.6328498704775,180.329826900661,-54.28498241610845,-20.019205912468237,-54.22083066512001,13.578461909381287,3.993149667979635
l1only,3.0,10.0,300.0,300.0,4,0.0,283.74053172559,961.6597293146174,-403.08189967426244,-274.9115240573557,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,3.0,30.0,300.0,300.0,4,41.50725780440734,404.6546549362301,352.35018853863244,-361.5746418698551,-153.9974008467156,-357.71864048158545,22.21905868509279,16.099630751755747
l1only,3.0,100.0,300.0,300.0,4,331.6559154080467,511.8658840420665,177.00946338816436,-71.42598426621572,-46.78617174087918,-71.21765977312545,10.262746204705246,6.9394349575237175
l1only,3.0,300.0,300.0,300.0,4,391.3146201251383,550.2419974177258,157.9266898728574,-11.767279549124169,-8.410058365219925,-11.665704317193713,4.110705072485861,2.8378840397175775
