variant,tau,K1,K2,K3,n_season,BSS,Resolution,Reliability,dBSS,dResolution,paired,paired_se,sigma
l1only,,10.0,300.0,300.0,1,0.0,310.85518333854395,847.0655722271821,-403.08189967426244,-247.79687244440174,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,,30.0,300.0,300.0,1,133.8632200331924,420.3845054564622,280.11947462608873,-269.21867964107,-138.2675503264835,-269.0760712938556,20.05478450755414,13.417051237449165
l1only,,100.0,300.0,300.0,1,363.27665992422766,530.0400275476587,162.2223901714848,-39.80523975003479,-28.61202823528697,-39.75603079765693,8.021802846221568,4.955996994663466
l1only,,300.0,300.0,300.0,1,399.6291437582844,554.5234444893721,152.58434756232424,-3.4527559159780594,-4.128611293573613,-3.434162162059938,3.0200436812779756,1.137123341410321
l1only,,1000.0,300.0,300.0,1,403.55197817807385,560.438766134554,156.42124047965422,0.4700785038114077,1.786710351608349,0.4762259359931136,0.9535374400937323,0.49943076796890196
l1only,,3000.0,300.0,300.0,1,403.40455038178067,559.2740052334783,155.23837598406556,0.3226507075182212,0.6219494505326111,0.3247767467327023,0.3228835169744423,1.0058635069885276
l1only,,10000.0,300.0,300.0,1,403.1969512612199,560.3355431938797,156.19167550548892,0.11505158695746331,1.683487410934049,0.11569841749137424,0.09741264909470121,1.1877145172275958
hier,,10.0,300.0,300.0,1,0.0,326.6733328086903,993.9715458346043,-403.08189967426244,-231.9787229742554,-405.2214173285849,36.46314672507815,11.113177378349713
hier,,30.0,300.0,300.0,1,0.0,428.1128750322708,427.36171047992786,-403.08189967426244,-130.53918075067492,-390.94000587358533,27.418723018992996,14.258140526923173
hier,,100.0,300.0,300.0,1,215.6832046525836,490.5386130543418,266.5549379561122,-187.39869502167883,-68.1134427286039,-187.54118308683573,16.753259623599725,11.194310080568028
hier,,300.0,300.0,300.0,1,252.88631398786566,511.9111555796824,250.31904834409045,-150.19558568639678,-46.74090020326332,-150.35051284028077,15.456783683661369,9.727153845027226
hier,,1000.0,300.0,300.0,1,257.65991595776416,510.62805410986425,242.09489749762065,-145.4219837164983,-48.02400167308144,-145.58472355339836,15.3459128430719,9.4868728268012
hier,,3000.0,300.0,300.0,1,257.83836605567376,511.0389453140606,243.17623992417046,-145.24353361858869,-47.61311046888511,-145.40920651616815,15.363972061430967,9.464297769793331
hier,,10000.0,300.0,300.0,1,257.75520017063957,509.4358542753578,242.09094082178657,-145.32669950362288,-49.21620150758787,-145.49349775846852,15.376300147833188,9.462191577924635
l1only,3.0,10.0,300.0,300.0,1,0.0,310.85518333854395,847.0655722271821,-403.08189967426244,-247.79687244440174,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,3.0,30.0,300.0,300.0,1,133.8632200331924,420.3845054564622,280.11947462608873,-269.21867964107,-138.2675503264835,-269.0760712938556,20.05478450755414,13.417051237449165
l1only,3.0,100.0,300.0,300.0,1,363.27665992422766,530.0400275476587,162.2223901714848,-39.80523975003479,-28.61202823528697,-39.75603079765693,8.021802846221568,4.955996994663466
l1only,3.0,300.0,300.0,300.0,1,399.6291437582844,554.5234444893721,152.58434756232424,-3.4527559159780594,-4.128611293573613,-3.434162162059938,3.0200436812779756,1.137123341410321
l1only,3.0,1000.0,300.0,300.0,1,403.55197817807385,560.438766134554,156.42124047965422,0.4700785038114077,1.786710351608349,0.4762259359931136,0.9535374400937323,0.49943076796890196
l1only,3.0,3000.0,300.0,300.0,1,403.40455038178067,559.2740052334783,155.23837598406556,0.3226507075182212,0.6219494505326111,0.3247767467327023,0.3228835169744423,1.0058635069885276
l1only,3.0,10000.0,300.0,300.0,1,403.1969512612199,560.3355431938797,156.19167550548892,0.11505158695746331,1.683487410934049,0.11569841749137424,0.09741264909470121,1.1877145172275958
hier,3.0,10.0,300.0,300.0,1,0.0,326.6733328086903,993.9715458346043,-403.08189967426244,-231.9787229742554,-405.2214173285849,36.46314672507815,11.113177378349713
hier,3.0,30.0,300.0,300.0,1,0.0,428.1128750322708,427.36171047992786,-403.08189967426244,-130.53918075067492,-390.94000587358533,27.418723018992996,14.258140526923173
hier,3.0,100.0,300.0,300.0,1,215.6832046525836,490.5386130543418,266.5549379561122,-187.39869502167883,-68.1134427286039,-187.54118308683573,16.753259623599725,11.194310080568028
hier,3.0,300.0,300.0,300.0,1,252.88631398786566,511.9111555796824,250.31904834409045,-150.19558568639678,-46.74090020326332,-150.35051284028077,15.456783683661369,9.727153845027226
hier,3.0,1000.0,300.0,300.0,1,257.65991595776416,510.62805410986425,242.09489749762065,-145.4219837164983,-48.02400167308144,-145.58472355339836,15.3459128430719,9.4868728268012
hier,3.0,3000.0,300.0,300.0,1,257.83836605567376,511.0389453140606,243.17623992417046,-145.24353361858869,-47.61311046888511,-145.40920651616815,15.363972061430967,9.464297769793331
hier,3.0,10000.0,300.0,300.0,1,257.75520017063957,509.4358542753578,242.09094082178657,-145.32669950362288,-49.21620150758787,-145.49349775846852,15.376300147833188,9.462191577924635
l1only,1.5,10.0,300.0,300.0,1,0.0,310.85518333854395,847.0655722271821,-403.08189967426244,-247.79687244440174,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,1.5,30.0,300.0,300.0,1,133.8632200331924,420.3845054564622,280.11947462608873,-269.21867964107,-138.2675503264835,-269.0760712938556,20.05478450755414,13.417051237449165
l1only,1.5,100.0,300.0,300.0,1,363.27665992422766,530.0400275476587,162.2223901714848,-39.80523975003479,-28.61202823528697,-39.75603079765693,8.021802846221568,4.955996994663466
l1only,1.5,300.0,300.0,300.0,1,399.6291437582844,554.5234444893721,152.58434756232424,-3.4527559159780594,-4.128611293573613,-3.434162162059938,3.0200436812779756,1.137123341410321
l1only,1.5,1000.0,300.0,300.0,1,403.55197817807385,560.438766134554,156.42124047965422,0.4700785038114077,1.786710351608349,0.4762259359931136,0.9535374400937323,0.49943076796890196
l1only,1.5,3000.0,300.0,300.0,1,403.40455038178067,559.2740052334783,155.23837598406556,0.3226507075182212,0.6219494505326111,0.3247767467327023,0.3228835169744423,1.0058635069885276
l1only,1.5,10000.0,300.0,300.0,1,403.1969512612199,560.3355431938797,156.19167550548892,0.11505158695746331,1.683487410934049,0.11569841749137424,0.09741264909470121,1.1877145172275958
hier,1.5,10.0,300.0,300.0,1,0.0,326.6733328086903,993.9715458346043,-403.08189967426244,-231.9787229742554,-405.2214173285849,36.46314672507815,11.113177378349713
hier,1.5,30.0,300.0,300.0,1,0.0,428.1128750322708,427.36171047992786,-403.08189967426244,-130.53918075067492,-390.94000587358533,27.418723018992996,14.258140526923173
hier,1.5,100.0,300.0,300.0,1,215.6832046525836,490.5386130543418,266.5549379561122,-187.39869502167883,-68.1134427286039,-187.54118308683573,16.753259623599725,11.194310080568028
hier,1.5,300.0,300.0,300.0,1,252.88631398786566,511.9111555796824,250.31904834409045,-150.19558568639678,-46.74090020326332,-150.35051284028077,15.456783683661369,9.727153845027226
hier,1.5,1000.0,300.0,300.0,1,257.65991595776416,510.62805410986425,242.09489749762065,-145.4219837164983,-48.02400167308144,-145.58472355339836,15.3459128430719,9.4868728268012
hier,1.5,3000.0,300.0,300.0,1,257.83836605567376,511.0389453140606,243.17623992417046,-145.24353361858869,-47.61311046888511,-145.40920651616815,15.363972061430967,9.464297769793331
hier,1.5,10000.0,300.0,300.0,1,257.75520017063957,509.4358542753578,242.09094082178657,-145.32669950362288,-49.21620150758787,-145.49349775846852,15.376300147833188,9.462191577924635
l1only,0.8,10.0,300.0,300.0,1,0.0,310.85518333854395,847.0655722271821,-403.08189967426244,-247.79687244440174,-405.2214173285849,36.46314672507815,11.113177378349713
l1only,0.8,30.0,300.0,300.0,1,133.8632200331924,420.3845054564622,280.11947462608873,-269.21867964107,-138.2675503264835,-269.0760712938556,20.05478450755414,13.417051237449165
l1only,0.8,100.0,300.0,300.0,1,363.27665992422766,530.0400275476587,162.2223901714848,-39.80523975003479,-28.61202823528697,-39.75603079765693,8.021802846221568,4.955996994663466
l1only,0.8,300.0,300.0,300.0,1,399.6291437582844,554.5234444893721,152.58434756232424,-3.4527559159780594,-4.128611293573613,-3.434162162059938,3.0200436812779756,1.137123341410321
l1only,0.8,1000.0,300.0,300.0,1,403.55197817807385,560.438766134554,156.42124047965422,0.4700785038114077,1.786710351608349,0.4762259359931136,0.9535374400937323,0.49943076796890196
l1only,0.8,3000.0,300.0,300.0,1,403.40455038178067,559.2740052334783,155.23837598406556,0.3226507075182212,0.6219494505326111,0.3247767467327023,0.3228835169744423,1.0058635069885276
l1only,0.8,10000.0,300.0,300.0,1,403.1969512612199,560.3355431938797,156.19167550548892,0.11505158695746331,1.683487410934049,0.11569841749137424,0.09741264909470121,1.1877145172275958
hier,0.8,10.0,300.0,300.0,1,0.0,326.6733328086903,993.9715458346043,-403.08189967426244,-231.9787229742554,-405.2214173285849,36.46314672507815,11.113177378349713
hier,0.8,30.0,300.0,300.0,1,0.0,428.1128750322708,427.36171047992786,-403.08189967426244,-130.53918075067492,-390.94000587358533,27.418723018992996,14.258140526923173
hier,0.8,100.0,300.0,300.0,1,215.6832046525836,490.5386130543418,266.5549379561122,-187.39869502167883,-68.1134427286039,-187.54118308683573,16.753259623599725,11.194310080568028
hier,0.8,300.0,300.0,300.0,1,252.88631398786566,511.9111555796824,250.31904834409045,-150.19558568639678,-46.74090020326332,-150.35051284028077,15.456783683661369,9.727153845027226
hier,0.8,1000.0,300.0,300.0,1,257.65991595776416,510.62805410986425,242.09489749762065,-145.4219837164983,-48.02400167308144,-145.58472355339836,15.3459128430719,9.4868728268012
hier,0.8,3000.0,300.0,300.0,1,257.83836605567376,511.0389453140606,243.17623992417046,-145.24353361858869,-47.61311046888511,-145.40920651616815,15.363972061430967,9.464297769793331
hier,0.8,10000.0,300.0,300.0,1,257.75520017063957,509.4358542753578,242.09094082178657,-145.32669950362288,-49.21620150758787,-145.49349775846852,15.376300147833188,9.462191577924635
