run,git_commit,config,fold,seed,model,sequence_length,hidden_size,epochs,batch_size,device,gpu,dataset,train_rows,valid_rows,total_seconds,epoch,BSS,Resolution,Reliability,LogLoss,AUC,pred_std,corr_with_v9,dBSS,dResolution,dReliability,paired,paired_se,selection
gru_smoke-20260812-201906,f833dec8ab9f-dirty,gru_smoke.yaml,2024,42,gru,16,32,1,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,3.2,1,305.12103437299044,440.77521313542024,137.19030037694552,0.6911899579346791,0.535706538050591,0.0435365115501649,0.7490523880119552,-392.08470952966087,-335.3913408767165,60.02614854990129,-395.9877145756444,43.72013818071624,
gru_smoke-20260812-201911,f833dec8ab9f-dirty,gru_smoke.yaml,2024,42,gru,16,32,2,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,4.1,2,299.4727851017953,443.8139943561987,140.68491350646238,0.6912194853191118,0.5358238024708551,0.0442423573471653,0.7276646123671954,-397.732958800856,-332.3525596559381,63.52076167941816,-401.9771317046593,45.36446002339655,
gru_smoke-20260812-212846,d0c8f39ce4d0-dirty,gru_smoke.yaml,2024,42,gru,16,32,1,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,8.3,1,302.46105902206335,439.74497604731056,139.30376210276052,0.6912034877000804,0.5356860552558494,0.0435422908770555,0.7484687859599265,-394.7446848805769,-336.4215779648262,62.139610275716294,-398.6200593892357,43.88464428129188,
gru_smoke-20260812-212852,d0c8f39ce4d0-dirty,gru_smoke.yaml,2024,42,gru,16,32,2,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.6,2,296.73045457890845,455.2784359245563,155.35974977591354,0.691233387428014,0.5357771268649538,0.0442295070032446,0.7267858218074081,-400.47528932373183,-320.8881180875805,78.19559794886932,-404.69863455093383,45.55076838599313,
gru_smoke-20260812-213029,d0c8f39ce4d0-dirty,gru_smoke.yaml,2024,42,gru,16,32,1,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,4.7,1,302.46105902206335,439.74497604731056,139.30376210276052,0.6912034877000804,0.5356860552558494,0.0435422908770555,0.7484687859599265,-394.7446848805769,-336.4215779648262,62.139610275716294,-398.6200593892357,43.88464428129188,
gru_smoke-20260812-213036,d0c8f39ce4d0-dirty,gru_smoke.yaml,2024,42,gru,16,32,2,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.6,2,296.73045457890845,455.2784359245563,155.35974977591354,0.691233387428014,0.5357771268649538,0.0442295070032446,0.7267858218074081,-400.47528932373183,-320.8881180875805,78.19559794886932,-404.69863455093383,45.55076838599313,
gru_smoke-20260812-213728,d0c8f39ce4d0-dirty,gru_smoke.yaml,2024,42,gru,16,32,1,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.0,1,302.46105902206335,439.74497604731056,139.30376210276052,0.6912034877000804,0.5356860552558494,0.0435422908770555,0.7484687859599265,-394.7446848805769,-336.4215779648262,62.139610275716294,-398.6200593892357,43.88464428129188,
gru_smoke-20260812-213734,d0c8f39ce4d0-dirty,gru_smoke.yaml,2024,42,gru,16,32,2,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.7,2,296.73045457890845,455.2784359245563,155.35974977591354,0.691233387428014,0.5357771268649538,0.0442295070032446,0.7267858218074081,-400.47528932373183,-320.8881180875805,78.19559794886932,-404.69863455093383,45.55076838599313,
gru_smoke-20260812-214011,922dd7ad5120-dirty,gru_smoke.yaml,2024,42,gru,16,32,1,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,4.8,1,302.46105902206335,439.74497604731056,139.30376210276052,0.6912034877000804,0.5356860552558494,0.0435422908770555,0.7484687859599265,-394.7446848805769,-336.4215779648262,62.139610275716294,-398.6200593892357,43.88464428129188,Resolution (tie-break: BSS)
gru_smoke-20260812-214018,922dd7ad5120-dirty,gru_smoke.yaml,2024,42,gru,16,32,2,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.6,2,296.73045457890845,455.2784359245563,155.35974977591354,0.691233387428014,0.5357771268649538,0.0442295070032446,0.7267858218074081,-400.47528932373183,-320.8881180875805,78.19559794886932,-404.69863455093383,45.55076838599313,Resolution (tie-break: BSS)
seltest-20260812-214049,922dd7ad5120-dirty,gru_smoke.yaml,2024,42,gru,16,32,4,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,18.0,3,323.64141681716643,476.1693688851787,157.92723648768566,0.691102082648552,0.5370984679021668,0.0471115868299484,0.7142357801253376,-373.56432708547385,-299.9971851269581,80.76308466064144,-377.1153200169676,45.68782298347892,Resolution (tie-break: BSS)
seltest_legacy-20260812-214132,922dd7ad5120-dirty,gru_smoke.yaml,2024,42,gru,16,32,6,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,10.8,5,299.6498135871772,454.70651313109823,157.87564468073936,0.6912243534043181,0.5365132900060637,0.0473469252062269,0.703961171345231,-397.55593031546306,-321.46004088103854,80.71149285369513,-401.8701759931648,46.56133063411774,Resolution (tie-break: BSS)
gru_smoke-20260812-224724,e2f73d660aa6-dirty,gru_smoke.yaml,2024,42,gru,16,32,1,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.4,1,302.46105902206335,439.74497604731056,139.30376210276052,0.6912034877000804,0.5356860552558494,0.0435422908770555,0.7484687859599265,-394.7446848805769,-336.4215779648262,62.139610275716294,-398.6200593892357,43.88464428129188,Resolution (tie-break: BSS)
gru_smoke-20260812-224731,e2f73d660aa6-dirty,gru_smoke.yaml,2024,42,gru,16,32,2,512,mps,Apple Silicon (MPS),S2024_L16@2026-08-12 20:15:41,100000,100000,5.7,2,296.73045457890845,455.2784359245563,155.35974977591354,0.691233387428014,0.5357771268649538,0.04422950700324467,0.7267858218074081,-400.47528932373183,-320.8881180875805,78.19559794886932,-404.69863455093383,45.55076838599313,Resolution (tie-break: BSS)
