fold,arm,seed,BSS,Resolution,Reliability,best_iter,n_train,n_valid
2023,base,42,801.9063610793631,830.8460349296352,27.2762939217673,99,976060,245525
2023,base,43,808.1249923222233,841.7409986680115,28.81772188701913,87,976060,245525
2023,base,44,797.7288761683243,834.2669737450354,32.85478895643978,95,976060,245525
2023,noinit,42,720.7862694133205,780.2916459088423,51.94535318296258,99,976060,245525
2023,noinit,43,720.4037187968581,774.9123639420512,50.467806990781796,121,976060,245525
2023,noinit,44,721.6677027972129,786.2117507834263,55.25656862525202,78,976060,245525
2024,base,42,796.1729870742839,838.2002632921422,47.551473036335466,83,1221585,253507
2024,base,43,782.7491375898776,832.754127998432,55.24963030426832,82,1221585,253507
2024,base,44,781.4429123051303,839.7516458630297,66.11124753861232,91,1221585,253507
2024,noinit,42,755.4100676694708,833.0209429617757,83.28939574601834,172,1221585,253507
2024,noinit,43,763.2866890188939,838.1337695278414,75.4695270706234,114,1221585,253507
2024,noinit,44,758.6601863030285,844.5333623277755,92.1182933522932,121,1221585,253507
