q,n,pred,actual,gap,rel,se,z,season
0,12676,0.40263810633867264,0.39342063742505523,-0.00921746891361741,1.7006351899095915,0.004355972002259101,-2.1160532962188534,2024
1,12675,0.428364304595067,0.4151479289940828,-0.01321637560098421,3.4960551959286486,0.004395338458997233,-3.0069073688581054,2024
2,12675,0.4408103678947715,0.43471400394477316,-0.006096363949998351,0.7438670266507991,0.004409927722855387,-1.3824181104834554,2024
3,12676,0.45020172176110046,0.4452508677816346,-0.004950853979465875,0.4906231460748803,0.004418899742657801,-1.1203816035183733,2024
4,12675,0.4581754543954473,0.4543589743589744,-0.0038164800364729468,0.2915274981621825,0.004425590878745272,-0.8623662107589534,2024
5,12675,0.4651094754869192,0.4617751479289941,-0.003334327557925121,0.22252051649662488,0.0044303298508923976,-0.7526138391825363,2024
6,12676,0.4712351741532965,0.4639476175449669,-0.007287556608329637,1.0630450773684352,0.0044336255728889655,-1.6437014106225123,2024
7,12675,0.47688159835982613,0.4670611439842209,-0.009820454375605248,1.9302639521427685,0.0044364061321387595,-2.2136058068405196,2024
8,12675,0.48230366969686417,0.4728205128205128,-0.009483156876351373,1.799945707993776,0.004438373459498475,-2.1366288715647976,2024
9,12676,0.48759292138880744,0.4869043862417166,-0.0006885351470908296,0.00948942781714391,0.0044396132730838275,-0.15508899193207473,2024
10,12675,0.4928570303420297,0.4813412228796844,-0.011515807462345318,2.6542530547984384,0.0044407027002657095,-2.5932399081019923,2024
11,12675,0.49818533049999214,0.49364891518737675,-0.004536415312615394,0.4118880111375639,0.004441126667068526,-1.021455962121829,2024
12,12675,0.503757605150114,0.49538461538461537,-0.008372989765498662,1.4031841047092746,0.0044410305004136605,-1.885370921167679,2024
13,12676,0.5098750242103518,0.502051120227201,-0.007823903983150804,1.2252785260628962,0.004440114514932597,-1.7620950894032459,2024
14,12675,0.5166740922629023,0.49570019723865877,-0.020973895024243516,8.804642274664916,0.004438685721994266,-4.7252489448205655,2024
15,12675,0.5243075497101176,0.5169230769230769,-0.007384472787040686,1.0914215494460482,0.004435904636369643,-1.6647050359234412,2024
16,12676,0.5332011968711768,0.5267434521931209,-0.006457744678055932,0.8347367584512179,0.004431179158188,-1.4573422665890665,2024
17,12675,0.5445922263146477,0.546508875739645,0.0019166494249973631,0.0735256549872866,0.004423458474979293,0.43329205775043145,2024
18,12675,0.5617917439702097,0.5699408284023668,0.008149084432157117,1.3291413543930954,0.004407110807635621,1.849076364959617,2024
19,12676,0.5938472801266783,0.5984537709056484,0.004606490778970129,0.42474493671729624,0.004362053155585934,1.0560372867238388,2024
