level,n,y,p,gap,se,z,contrib,var
0-0,65317,0.4862899398318967,0.49477227524408013,-0.008482335412183406,0.0019562896198848895,-4.335930286581246,7.42100424676369,count
0-1,31402,0.5010508884784408,0.5019550885692631,-0.0009042000908222603,0.0028215518120366556,-0.3204619837087413,0.04054076780107723,count
0-2,16155,0.49229340761374185,0.4951269023293761,-0.002833494715634266,0.003933651631826999,-0.7203217216055908,0.20481291751856504,count
1-0,26438,0.4799152734700053,0.49024117661227284,-0.010325903142267556,0.0030744891851133896,-3.358575204058403,4.451334796279711,count
1-1,25313,0.4862323707186031,0.4969156149358936,-0.0106832442172905,0.003142605971114452,-3.3994857501979276,4.562002296699421,count
1-2,24399,0.497807287183901,0.4968622224803793,0.0009450647035216808,0.0032009245607892704,0.29524741541820365,0.03441126842550807,count
2-0,9392,0.47327512776831343,0.48407370704480557,-0.010798579276492137,0.005156684201094688,-2.0940935793973496,1.7294057294387006,count
2-1,13446,0.47411869701026327,0.4877639835489794,-0.013645286538716106,0.004310656001293907,-3.165477953847459,3.953338431208452,count
2-2,20640,0.49064922480620154,0.4904975647853892,0.00015166002081234975,0.0034796592191261516,0.04358473380920221,0.0007496481664235319,count
3-0,3214,0.4819539514623522,0.4657654533567671,0.016188498105585092,0.008798865610684636,1.8398392272211863,1.3300395570125036,count
3-1,6020,0.4591362126245847,0.46806392521965695,-0.008927712595072246,0.0064310822152836965,-1.3882131025871849,0.7576741327083816,count
3-2,11771,0.45697052077138733,0.464857766545922,-0.007887245774534646,0.00459714263982822,-1.7156843701567994,1.1562977365520557,count
1,29259,0.4957448990054342,0.4987947964601477,-0.003049897454713457,0.0029230685698052013,-1.043388953040095,0.42976943119138433,inning
2,28108,0.49316920449694035,0.49900529589671916,-0.005836091399778809,0.0029823195296127085,-1.9568967516155784,1.511748972601346,inning
3,27893,0.4948553400494748,0.4984051945221498,-0.003549854472675029,0.0029937820610606803,-1.1857424489400994,0.5550369464714345,inning
4,28007,0.4912343342735745,0.4955964844986863,-0.004362150225111827,0.002987582213566025,-1.4600937859732055,0.8415373474980737,inning
5,28337,0.48494900659914597,0.49444587566781123,-0.009496869068665259,0.002970067182482291,-3.197526683799815,4.035713604557698,inning
6,28707,0.4795346082836939,0.49037108300278714,-0.01083647471909327,0.0029504995491777333,-3.6727593204049995,5.323158787935701,inning
7,29244,0.47712351251538776,0.4827904495239495,-0.005666937008561745,0.002922094221383155,-1.9393409586496277,1.4829930417363983,inning
8,28994,0.4750638063047527,0.480371320468036,-0.005307514163283289,0.002934141300988784,-1.8088815836833405,1.2897217555072478,inning
9,21110,0.483041212695405,0.4900904834621824,-0.007049270766777416,0.00344065063775504,-2.048819106893379,1.6564647016630907,inning
10,3848,0.4862266112266112,0.48669754770693624,-0.0004709364803250349,0.008057470364860856,-0.058447187392561696,0.0013476133304061268,inning
0,87031,0.483080741345038,0.4899727832934119,-0.006892041948373895,0.0016945159754065634,-4.067262893004178,6.527928147545447,outs
1,83789,0.48546945303082745,0.49276716289113087,-0.007297709860303425,0.0017271539757784803,-4.225280410806528,7.046375137481584,outs
2,82687,0.4899319119087644,0.49372456642653534,-0.0037926545177709436,0.0017386700694855281,-2.1813537739757543,1.8781460885546468,outs
0,131633,0.48431624288742187,0.49214208652756375,-0.007825843640141883,0.0013779516383000483,-5.679331133708343,12.73012534371683,runners
1,77493,0.4913992231556399,0.49379637832860585,-0.002397155172965959,0.001795995884350031,-1.334721974506911,0.7031700056988875,runners
2,35973,0.48350151502515776,0.4899537205732827,-0.006452205548124923,0.002635687962308133,-2.448015713694187,2.364822854267766,runners
3,8408,0.4764509990485252,0.48559528146059394,-0.009144282412068716,0.005450587919517243,-1.677669005085716,1.110190562961524,runners
1,71830,0.48440762912432134,0.4911556007729191,-0.00674797164859775,0.0018653018308736268,-3.6176298853667515,5.164852610398662,P hand
2,181677,0.48677598154967333,0.4925014478161025,-0.005725466266429169,0.0011729275430790043,-4.881346934184426,9.404316524456261,P hand
1,119761,0.4868696821168828,0.49476248919892335,-0.007892807082040543,0.0014447359160843064,-5.463148658636908,11.781048853614744,B hand
2,133746,0.48542012471401014,0.48975402531255186,-0.004333900598541718,0.0013669052123701938,-3.170593366182866,3.966836149726214,B hand
1x1,30493,0.453841865346145,0.46878296396283414,-0.01494109861668913,0.0028577341888682867,-5.228302434456324,10.749067396467296,hand pair
1x2,41337,0.5069550281829838,0.507659188702617,-0.000704160519633179,0.0024589492572053115,-0.2863664297137567,0.03236591326025811,hand pair
