q,n,pred,actual,lo,hi,gap,season
0,12277,0.40193661227229427,0.41410768102956746,0.2723545520289488,0.4261293639689766,0.012171068757273196,2023
1,12276,0.4360070829483139,0.434099055066797,0.4261301049613367,0.4439405803448899,-0.0019080278815168938,2023
2,12276,0.4496076354390075,0.45698924731182794,0.44394084546072643,0.4545622288116461,0.007381611872820437,2023
3,12276,0.4588689461800632,0.46032909742587164,0.4545623601396612,0.46295010284515253,0.0014601512458084498,2023
4,12277,0.46661856781683775,0.4719393988759469,0.46295012521370627,0.47007440358627606,0.005320831059109132,2023
5,12276,0.4733555327960714,0.4834636689475399,0.4700747506578989,0.4765165399966687,0.010108136151468494,2023
6,12276,0.4795809048047789,0.4851743238840013,0.47651685098457214,0.48254334834741675,0.005593419079222395,2023
7,12276,0.4853821781236552,0.4875366568914956,0.4825439720645339,0.4882034238244397,0.0021544787678404176,2023
8,12276,0.4910180607197389,0.49503095470837405,0.4882038254741855,0.4938410729674505,0.004012893988635136,2023
9,12277,0.49667159159726204,0.5089191170481387,0.49384129779522157,0.4994665778385268,0.012247525450876706,2023
10,12276,0.5022876575371843,0.510752688172043,0.49946674137732383,0.5051052486336157,0.008465030634858706,2023
11,12276,0.5079713909795043,0.5233789507983057,0.5051055673910132,0.5108698635253124,0.015407559818801375,2023
12,12276,0.5138139039320945,0.5244379276637341,0.5108704566603346,0.5168229595123472,0.01062402373163962,2023
13,12276,0.519956475474279,0.5184913652655588,0.5168236547020246,0.5232278275676705,-0.0014651102087201995,2023
14,12277,0.5267856185915157,0.5347397572696913,0.5232290835198252,0.5305407107903787,0.007954138678175515,2023
15,12276,0.5347232318611047,0.5328282828282829,0.5305411972314005,0.539172960682996,-0.0018949490328218355,2023
16,12276,0.5442482028468358,0.5396709025741284,0.5391737521742318,0.5497434357803473,-0.004577300272707419,2023
17,12276,0.5562947313142991,0.5320136852394917,0.5497445327328131,0.5636161815072591,-0.02428104607480741,2023
18,12276,0.5726401335919445,0.5466764418377321,0.563616541756058,0.5827927345712629,-0.025963691754212426,2023
19,12277,0.603985345864467,0.5385680540848742,0.582793001610695,0.693211100243698,-0.06541729177959277,2023
